title,filename,published,words
The Misery Index: My Portfolio Is Down 14% — Which Teams Share My Pain?,003-misery-index.txt,2026-04-01,1140
"Half the Games Go to Extra Innings. The Other Half, the Bats Go Silent.",004-mets-500.txt,2026-04-02,816
"32 Picks, 10 57 Possibilities, and a 0% Chance Anyone Gets Them All Right",005-draft-combinatorics.txt,2026-04-03,727
The Jets Draft Like a Team Trying to Lose — and the Math Says They Might Be Worse Than Random,006-jets-draft.txt,2026-04-04,917
The $765 Million Calf: What a Juan Soto Absence Actually Costs the Mets,010-soto-calf.txt,2026-04-04,914
The $467 Million Infield Is Hitting .128 — And Mets Fans Already Booed,011-infield-hitting.txt,2026-04-05,856
The Mets Alumni All-Stars: -3.7 WAR and a First-Round Pick Who Became Someone Else’s MVP Candidate,007-mets-alumni.txt,2026-04-06,922
The A’s Are Moving to Vegas. The Raiders Already Did. The Data Says Neither Guarantees a Winner.,012-relocation-myth.txt,2026-04-07,996
"Three Franchises, Three Trajectories: The Rangers Are Falling, the Sabres Are Rising, and Vegas Is Running Out of Time",013-nhl-three-franchises.txt,2026-04-08,922
Kirk Cousins Wouldn’t Mentor Penix in Atlanta. Now He’s Getting $20 Million to Mentor Mendoza in Vegas.,008-mentor-myth.txt,2026-04-09,910
The Portal Freeze: A 35–40% Reduction in Transfers Will Reshape Who Wins College Football,009-eo-transfer-freeze.txt,2026-04-10,876
"College Football’s Gini Coefficient Is 0.37 — Worse Than MLB, Approaching US Income Inequality",eo-002-nil-gini.txt,2026-04-11,1821
"Fourteen Issues, Five Predictions, and the Truth : Our First Report Card",sunday-001.txt,2026-04-12,1464
Notre Dame Is Simultaneously the Most Protected and Most Vulnerable Program in College Football,eo-003-notre-dame.txt,2026-04-13,2626
The Rule That Would Have Prevented Cignetti’s Miracle Now Protects What He Built,eo-004-cignetti.txt,2026-04-14,2048
The Mets’ Pitching Isn’t the Problem. You’re Watching the Wrong Side of the Box Score.,018-mets-pitching-mirage.txt,2026-04-15,996
The Executive Order Isn’t Saving College Sports. It’s Restoring the Old Guard — With One Dangerous Asterisk.,eo-005-big-picture.txt,2026-04-16,2463
WNBA Players Make 116x Less Than NBA Players. That Number Is True. It’s Also the Wrong Comparison.,016-wnba-pay-maturity.txt,2026-04-17,1442
"Three HITs, One MISS , and a CBA That Arrived Right on Schedule",sunday-002.txt,2026-04-19,1921
Tennessee Lost Every Single Player. But Which Sport Collapses When It Loses Just One?,014-star-sensitivity.txt,2026-04-20,1661
The WNBA and MLS Were Born the Same Year. One Pays $584K . The Other Pays $633K . Guess Which Is Which.,017-wnba-soccer-comparison.txt,2026-04-20,1282
Want to Know If the Mets Lost? Check the S&P 500. (Please Don’t.),019-spurious-correlation.txt,2026-04-21,1790
"Fifty Years, One Hall of Famer , and a 28% Rate at the Top of the Draft",020-jets-first-round-busts.txt,2026-04-22,1498
"The 2026 Mets Are 7-14. The Math Is Unhappy , Not Final.",023-mets-slow-start.txt,2026-04-23,733
"Same Stadium, Different Drafts : Jets vs. Giants, 50 Years In",021-draft-hit-rate-jets-giants.txt,2026-04-24,1040
"The Mets Diaspora: Three Years of Departures , One Ongoing Indictment",024-mets-diaspora.txt,2026-04-25,733
The Streak Broke. Soto’s Back. Lindor’s Hurt. The Math Doesn’t Care.,sunday-003.txt,2026-04-26,1372
When We Know a Player or Coach Is a Bust,025-signal-horizon.txt,2026-04-27,756
The Just-Noticeable Difference in College Football Rankings Is 13,022-cfb-jnd-rankings.txt,2026-04-28,1257
Three Definitions of a Bust,020-jets-first-round-busts-deeper.txt,2026-04-29,1440
How We Fit the CFB JND Curve,022-cfb-jnd-rankings-deeper.txt,2026-04-29,1395
When the Number Starts to Mean Something,026-stabilization-thresholds.txt,2026-04-29,576
The JUCO Detour: College Baseball’s Portal Workaround Is Already Here,eo-006-juco-detour.txt,2026-04-30,1826
You Can’t Choose Your Allegiances Unless You’re a Rat. Here’s What 54 Years of Loyalty Has Cost.,015-fan-misery-map.txt,2026-05-01,897
Conditional Probability and the Inverse Fallacy,027-mets-conditional-probability-deeper.txt,2026-05-02,1491
The Mets Are 10-21. The Question Isn’t How Bad . It’s What Bad Means .,027-mets-conditional-probability.txt,2026-05-02,1223
"The Week in Reference Cards: One Old Forecast Home, One New Variable, and a Mets Win That Proves Nothing",sunday-004.txt,2026-05-03,2153
Year One Tells You 60% of Everything You’ll Ever Know About a Coach,029-cfb-coaching-stabilization.txt,2026-05-04,895
