title,filename,published,words
"Every Team Has a Shape. The Mets' Shape Is Soto, Alone.",072-team-clustering.txt,2026-07-01,1163
New Teams Are Supposed to Lose for Years. Las Vegas Won Three Titles in Twenty-Four Months.,093-vegas-expansion-curse.txt,2026-07-02,1202
We Searched 65 Years of NBA Legends for Caitlin Clark’s Twin. The Math Chose Oscar Robertson.,090-clark-distance-match.txt,2026-07-03,1516
Host Nations Reach the World Cup Semifinals 59% of the Time. America Is Hosting on Its 250th Birthday.,094-usa-250-worldcup.txt,2026-07-04,1183
The Ticket Said Sold. The Section Said Empty. — The Sports Page,sunday-013.txt,2026-07-05,3054
Bank of America Says 2026 Is 1994 . Baseball Says 2026 Is 2021 .,073-analog-year-2021.txt,2026-07-06,1690
The Mets Are Seventy Times More Predictable Than the Snow .,074-predictability.txt,2026-07-07,1216
"By the Numbers, the Mets Are the 2012 Mariners. By Strategy, They Have a Choice.",076-mets-analog.txt,2026-07-08,1386
A Fair Fight Was Asked For. We Ran Two. Snow Lost Both.,075-prediction-frameworks.txt,2026-07-09,1445
Notre Dame Is Building a Contender. That Is Not the Same as Building Alabama.,086-nd-dynasty-test.txt,2026-07-10,1380
Five Teams Have Looked Like the 2026 Astros. None Of Them Were Still a Dynasty.,077-astros-analog.txt,2026-07-11,1207
"A Framework Week: Six Tools Built, Zero Bets Placed — The Sports Page",sunday-014.txt,2026-07-12,1836
The NBA's Last Year Is Worth a +65. The Pacific Northwest's La Niña Is Worth a Minus 19.,078-cross-sport-persistence.txt,2026-07-13,1663
"For One Year, the Trophy Was Always Somebody's. That Year Was 1986.",098-1986-mets-year.txt,2026-07-14,1644
"Notre Dame Came Within a Game of the Title, Then Returned More of Its Roster Than Anyone in the Country. We’re Calling the Dynasty.",092-nd-dynasty-call.txt,2026-07-15,1385
"At the Break, the Standings Lie Politely. The Second Derivative Doesn't.",097-acceleration-second-derivative.txt,2026-07-16,1660
Every Model Is Wrong. The Useful Ones Know It.,concept-all-models-are-wrong.txt,2026-07-16,776
Your Forecast Broke. Which of Three Things Do You Stop Believing?,concept-believe-data-model-theory.txt,2026-07-16,781
